NUM_CORR_ACI;COD_LOCAL_EVENTO_ACI;NUM_TRAT_ACO_PAN;MES;AL_CAS;GRAU;TRAT;S_MAX
590370;OB1;1;201309;112;AS;C1;10
590399;OB2;1;201309;103;AS;C1;3
590403;OB1;1;201309;575;AS;C1;3
590412;OB1;1;201309;19;AA;C1;15
590442;OB2;1;201309;200;AS;F1;9
590482;OB1;1;201309;133;AS;C1;4
590497;OB1;1;201309;503;AA;C1;15
590553;OB1;1;201309;353;AA;C1;8
590554;OB1;1;201309;191;AA;C1;8
590616;OB1;1;201309;149;AA;C1;20
590664;OB2;1;201309;207;AA;C1;10
590713;OB2;1;201309;457;AA;C1;9
590715;OB2;1;201309;448;AA;C1;9
590736;OB1;1;201309;240;AS;C1;9
590753;OB2;1;201310;411;AA;C1;10
590770;OB2;1;201310;380;AA;C1;20
590776;OB2;1;201310;467;AA;C7;20
590796;OB2;1;201310;48;AC;C1;15
590835;OB2;1;201310;228;AA;C1;15
590865;OB2;1;201310;843;AA;C1;4
590873;OB2;1;201310;184;AS;C1;9
590954;OB1;1;201310;119;AA;C1;10
590986;OB2;1;201310;246;AS;F1;9
591032;OB1;1;201310;1047;AA;C1;4
591046;OB2;1;201310;143;AS;C1;9
591061;OB2;1;201310;590;AA;C1;10
591086;OB2;1;201310;389;AA;C1;10
591130;OB2;1;201310;295;AA;C1;10
591153;OB1;1;201310;169;AA;C1;10
591193;OB2;1;201310;140;AA;C1;10
591286;OB1;1;201310;92;AA;C1;9
591303;OB1;1;201310;139;AS;C1;9
591308;OB2;1;201310;235;AS;C1;20
591405;OB2;1;201310;510;AA;A1;10
591449;OB1;1;201310;80;AS;C1;10
591605;OB1;1;201311;403;AA;C1;15
591606;OB1;1;201311;580;AA;C1;15
591619;OB1;;201311;0;AA;C1;15
591631;OB1;1;201311;220;AS;C1;9
591645;OB2;1;201311;379;AA;C1;20
591704;OB1;1;201311;146;AS;C1;9
591706;OB1;1;201311;125;AS;C7;9
591714;OB2;1;201311;81;AS;C1;9
591716;OB2;1;201311;85;AS;C1;10
591724;OB2;1;201311;262;AA;C1;10
591747;OB1;1;201311;454;AS;F1;2
591761;OB2;1;201311;281;AS;F1;2
591811;OB1;1;201311;146;AA;C1;10
591850;OB2;1;201311;46;AS;C1;8
591888;OB1;1;201311;136;AA;C1;9
591894;OB1;2;201311;0;AA;C1;8
591898;OB2;1;201311;253;AA;C1;15
591932;OB2;1;201311;581;AA;C1;9
591934;OB2;;201311;0;AA;C1;8
591949;OB2;1;201311;544;AA;C1;9
592021;OB1;1;201311;270;AA;C1;10
592073;OB1;1;201311;656;AA;C1;8
592100;OB1;1;201311;507;AA;C1;10
592132;OB2;1;201311;186;AS;F1;9
592159;OB1;1;201312;281;AA;C1;6
592186;OB2;1;201312;507;AS;F1;4
592212;OB2;1;201312;511;AA;C1;8
