NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
500975;ZMREAS008000160099;1597;13.74;0;min
502436;WOMAAS008000150099;1644;11.2;0;min
498719;VCBCAA007000177099;1524;6;0;min
502635;MBA2AA000150010099;1565;10.55;8000;max
501204;KVCCAS015000085099;1645;13.81;0;min
498144;24JDAA000100010099;1598;13.595;1900;media
498071;84D1AS000150050099;1654;18.685;0;min
502468;MBA2AA000150010099;1635;19.32;1900;media
501405;JYCHAS0140000660X9;1592;15.305;0;min
498654;WOMAAS008000150099;1523;7.66;0;min
502639;7PMBAS008000153099;1585;8.615;2000;media
501254;CJC1AS015000140099;1566;11.565;0;min
501248;JYCHAS0140000860X9;1650;21.27;0;min
497400;9GJKAS003000120099;1568;3.195;2000;media
497718;MBA2AA000150010099;1643;10.915;0;min
500478;TGCDAA008000061099;1589;11.505;1900;media
502441;9LMEAS007000180099;1581;9.695;2100;media
502506;ILICAS0460000660X9;1604;31.36;0;min
496696;TGCDAA008000061099;1583;18.865;0;min
501205;GXCCAS018000145099;1642;17.825;2100;media
500496;DDC1AA0120000860X9;1567;15.875;0;min
500974;ZMREAS008000160099;1622;7.845;0;min
497648;DDC1AA0160000360X9;1597;10.195;0;min
502427;24JDAA000100010099;1596;17.21;2100;media
501995;7DBBAS015000120099;1606;13.465;1900;media
496750;KVCCAS015000085099;1612;21.675;0;min
502285;TGCDAA008000061099;1576;10.195;2100;media
497418;9GJKAS003000120099;1590;3.27;0;min
497176;AAC2AA0090000460X9;1614;14.4;0;min
496675;DGC2AA003000021099;1649;18.345;7900;max
500865;GXCHAS018000145099;1628;17.33;0;min
501724;ZMREAS008000160099;1614;9.98;0;min
498769;WOMAAS008000150099;1581;12.045;2000;media
501564;KHCEAA0160000360X9;1606;12.375;2100;media
500626;ILICAS0460000660X9;1597;19.365;0;min
498036;KVCCAS015000085099;1602;14.925;2100;media
498597;TGCHAA008000086099;1611;12.575;2000;media
500934;24JDAA000100010099;1605;10.25;2000;media
