"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"830";489443;"OB1";1;201401;309;"AA";"C1";10;"AA-C1-10"
"834";489558;"OB2";1;201401;313;"AA";"C1";10;"AA-C1-10"
"835";489560;"OB2";NA;201401;0;"AA";"C1";10;"AA-C1-10"
"836";489562;"OB2";1;201401;273;"AA";"C1";10;"AA-C1-10"
"837";489565;"OB1";1;201401;193;"AA";"C1";10;"AA-C1-10"
"839";489682;"OB2";1;201402;392;"AA";"C1";10;"AA-C1-10"
"842";489862;"OB2";1;201402;109;"AA";"C1";10;"AA-C1-10"
"851";490051;"OB1";1;201402;116;"AA";"C1";10;"AA-C1-10"
"858";490162;"OB1";1;201402;179;"AA";"C1";10;"AA-C1-10"
"865";490356;"OB1";1;201402;106;"AA";"C1";10;"AA-C1-10"
"873";490487;"OB1";1;201403;291;"AA";"C1";10;"AA-C1-10"
"880";490595;"OB1";1;201403;392;"AA";"C1";10;"AA-C1-10"
"893";490985;"OB1";1;201403;378;"AA";"C1";10;"AA-C1-10"
"896";491028;"OB2";1;201403;396;"AA";"C1";10;"AA-C1-10"
"897";491029;"OB2";1;201403;368;"AA";"C1";10;"AA-C1-10"
"900";491071;"OB1";1;201404;37;"AA";"C1";10;"AA-C1-10"
"903";491098;"OB1";1;201404;624;"AA";"C1";10;"AA-C1-10"
"910";491313;"OB1";1;201404;97;"AA";"C1";10;"AA-C1-10"
"920";491471;"OB1";1;201404;260;"AA";"C1";10;"AA-C1-10"
"921";491475;"OB2";1;201404;91;"AA";"C1";10;"AA-C1-10"
"922";491477;"OB1";1;201404;189;"AA";"C1";10;"AA-C1-10"
"925";491580;"OB1";1;201404;67;"AA";"C1";10;"AA-C1-10"
"937";491960;"OB1";1;201405;268;"AA";"C1";10;"AA-C1-10"
"940";492073;"OB2";1;201405;151;"AA";"C1";10;"AA-C1-10"
"961";492544;"OB1";1;201406;82;"AA";"C1";10;"AA-C1-10"
"972";492771;"OB2";1;201406;430;"AA";"C1";10;"AA-C1-10"
