"PANELA","CAMP","VIDA_PAN_ACO","DR"
"10.142","201402","87",1.00
"10.142","201402","88",0.00
"10.142","201402","89",0.00
"10.142","201402","90",0.00
"10.142","201402","91",1.00
"10.142","201402","92",0.00
"10.142","201402","93",1.00
"10.142","201402","94",0.00
"10.142","201402","95",0.00
"10.142","201402","96",0.00
"10.142","201402","97",0.00
"10.142","201402","98",0.00
"22.71","201401","57",0.00
"22.71","201401","58",0.00
"22.71","201401","59",0.00
"22.71","201401","60",0.00
"22.71","201401","61",0.00
"22.71","201401","62",0.00
"22.71","201401","63",0.00
"22.71","201401","64",0.00
"22.71","201401","65",0.00
"22.71","201401","66",0.00
"22.71","201401","67",0.00
"22.71","201401","68",0.00
"22.71","201401","69",0.00
"22.71","201401","70",0.00
"22.71","201401","71",0.00
"22.71","201401","72",0.00
"22.71","201401","73",0.00
"22.71","201401","74",0.00
"22.71","201401","75",0.00
"22.71","201401","76",0.00
"22.71","201401","77",0.00
"22.71","201401","78",0.00
"22.71","201401","79",0.00
"22.71","201401","80",0.00
"22.71","201401","81",0.00
"22.71","201401","82",0.00
"22.71","201401","83",0.00
"22.71","201401","84",0.00
"22.71","201401","85",0.00
"22.71","201401","86",0.00
"22.71","201401","87",0.00
"22.71","201401","88",0.00
"22.71","201401","89",0.00
"22.71","201401","90",0.00
"22.71","201401","91",0.00
"22.71","201401","92",0.00
"22.71","201401","93",0.00
"22.71","201401","94",0.00
"22.71","201401","95",0.00
"22.71","201401","96",0.00
"22.71","201401","97",0.00
"22.71","201401","98",0.00
"22.71","201401","99",0.00
"22.71","201401","100",0.00
"22.71","201401","101",0.00
"22.71","201401","102",0.00
"22.71","201401","103",0.00
"22.71","201401","104",0.00
"22.71","201401","105",0.00
"22.71","201401","106",0.00
"22.71","201401","107",0.00
"22.71","201401","108",0.00
"22.71","201401","109",0.00
"22.71","201401","110",0.00
"22.71","201401","111",0.00
"22.71","201401","112",0.00
"22.71","201401","113",0.00
"22.71","201401","114",0.00
"22.71","201401","115",0.00
"22.71","201401","116",0.00
"22.71","201401","117",0.00
"22.71","201401","118",0.00
"22.71","201401","119",0.00
"10.142","201402","99",0.00
