"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"491655","24JDAA000100010099",0.00,10.00,0.10,110.00,19.00,,,2.76,12.82,4538.00,0.00,3880.00,0.00,181.00,6082.74,1507.30,0.00,30200.00,156330.00,2000.00,"***",,1628.00
"491656","24JDAA000100010099",0.00,10.00,0.10,116.00,29.00,,,3.23,10.34,5711.00,0.00,4205.00,332.00,151.00,7439.19,1732.96,0.00,31400.00,158430.00,3100.00,"***",1689.00,1623.00
"491657","24JDAA000100010099",0.00,10.00,0.10,116.00,16.00,3.04,14.08,2.33,10.09,5735.00,0.00,4204.00,332.00,202.00,7461.03,1733.83,0.00,30500.00,159030.00,1500.00,"***",1670.00,1616.00
"491660","21Q1AA000100010099",0.00,12.00,0.10,118.00,39.00,3.83,14.98,2.68,9.66,3791.00,580.00,2665.00,2566.00,405.00,5976.41,1559.88,0.00,25300.00,152600.00,2000.00,"***",1680.00,1619.00
"595363","DDC1AA0160000360X9",0.00,25.00,16.00,121.00,46.00,7.28,13.68,14.20,14.75,7031.00,0.00,6796.00,185.00,0.00,9861.96,2627.53,0.00,30900.00,157830.00,2600.00,"***",1696.00,1538.00
"595364","MBA2AA000150010099",0.00,15.00,0.15,119.00,53.00,8.09,10.17,,,7571.00,0.00,7382.00,183.00,0.00,10644.78,2847.55,0.00,34600.00,152600.00,7800.00,"***",1693.00,1624.00
"595365","24JDAA000100010099",0.00,10.00,0.10,118.00,65.00,,,4.39,9.63,7820.00,977.00,3556.00,2158.00,219.00,10238.74,2001.77,219.00,30300.00,158430.00,900.00,"***",,1536.00
"595366","DDC1AA0160000360X9",0.00,25.00,16.00,107.00,17.00,,,10.84,13.48,3917.00,515.00,3499.00,2709.00,145.00,6504.70,1863.89,145.00,31300.00,157630.00,2900.00,"***",,1546.00
"595367","MBA2AA000150010099",0.00,15.00,0.15,117.00,17.00,,,2.08,10.68,6387.00,0.00,5369.00,195.00,0.00,8581.38,2126.22,0.00,31600.00,158330.00,7700.00,"***",,1673.00
"595368","73CBAA010000150099",0.00,25.00,10.00,140.00,25.00,,,7.39,18.71,3701.00,512.00,2129.00,2828.00,353.00,5683.81,1422.26,353.00,25600.00,155130.00,2000.00,"***",,
"595369","73CBAA010000150099",0.00,25.00,10.00,123.00,33.00,,,9.01,18.41,3821.00,511.00,2386.00,2592.00,345.00,5840.33,1470.54,345.00,25400.00,154830.00,2000.00,"***",,1623.00
"595370","AAC3AA0040000210X9",0.00,25.00,4.00,123.00,37.00,,,2.89,10.75,6296.00,0.00,6022.00,179.00,229.00,8804.91,2334.28,229.00,30500.00,157430.00,1600.00,"***",1677.00,1548.00
"595371","AAC3AA0040000210X9",0.00,25.00,4.00,124.00,27.00,,,1.95,10.18,4606.00,509.00,1653.00,3638.00,139.00,6562.60,1456.08,139.00,25300.00,152730.00,2500.00,"***",,1638.00
"595372","AAC3AA0040000210X9",0.00,25.00,4.00,109.00,26.00,,,3.04,11.67,2505.00,509.00,3864.00,1926.00,0.00,5104.99,1772.50,0.00,30300.00,157430.00,1400.00,"***",1659.00,1615.00
"595373","AAC3AA0040000210X9",0.00,25.00,4.00,112.00,32.00,,,2.78,13.26,4194.00,512.00,5023.00,489.00,0.00,6759.55,1980.91,0.00,38100.00,148030.00,8400.00,"***",,1601.00
"595374","AAC3AA0040000210X9",0.00,25.00,4.00,120.00,34.00,,,4.90,13.14,3848.00,0.00,6075.00,198.00,0.00,6559.98,2232.79,0.00,38600.00,149130.00,7100.00,"***",1697.00,1635.00
"595377","61CCAS015000220099",0.00,25.00,15.00,121.00,37.00,5.44,18.68,11.13,18.51,3350.00,0.00,4077.00,205.00,377.00,5140.11,1549.81,377.00,25400.00,153430.00,1500.00,"***",1654.00,1531.00
"595379","WBCAAS010000200099",0.00,25.00,10.00,126.00,41.00,7.41,12.01,8.45,13.55,3635.00,0.00,4377.00,197.00,389.00,5546.52,1661.62,389.00,25700.00,153130.00,2900.00,"***",1659.00,
"595380","24JDAA000100010099",0.00,10.00,0.10,111.00,22.00,4.96,17.43,3.15,12.49,3634.00,0.00,3136.00,286.00,163.00,4979.28,1268.06,163.00,25300.00,153030.00,2200.00,"***",1668.00,1615.00
"595381","WBCAAS010000200099",0.00,25.00,10.00,107.00,17.00,7.80,13.23,8.80,14.00,3659.00,0.00,3158.00,262.00,167.00,5005.17,1272.25,167.00,25600.00,154630.00,2000.00,"***",1683.00,
"595382","ZGCBAS018000160099",0.00,25.00,18.00,118.00,39.00,,,,,3613.00,0.00,6614.00,197.00,0.00,6599.82,2398.73,0.00,38500.00,152230.00,7900.00,"***",1655.00,
"595384","VJQ1AA000150015099",0.00,12.00,0.15,119.00,32.00,,,2.38,7.11,8268.00,0.00,6028.00,203.00,139.00,10649.67,2439.18,139.00,37200.00,152430.00,3900.00,"***",,
