"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"491746","VCBCAA007000170099",0.00,20.00,7.00,116.00,47.00,,,3.31,6.85,6596.00,1211.00,0.00,7616.00,160.00,9325.72,1761.23,0.00,23400.00,154700.00,1900.00,"***",,1599.00
"491748","YRCEAA009000125099",0.00,25.00,9.00,87.00,12.00,,,5.45,11.36,3799.00,573.00,3328.00,929.00,130.00,5757.96,1484.06,0.00,23100.00,151000.00,2000.00,"***",1696.00,1641.00
"491749","VJQ1AA000150015099",0.00,12.00,0.15,98.00,13.00,1.80,13.58,,,3238.00,1037.00,3636.00,408.00,0.00,5471.98,1487.07,0.00,27700.00,154550.00,9400.00,"***",1654.00,1602.00
"491751","VJQ1AA000150015099",0.00,12.00,0.15,129.00,37.00,,,3.34,18.40,8482.00,0.00,4915.00,343.00,130.00,10360.65,2107.79,0.00,37000.00,152350.00,5400.00,"***",,1619.00
"491752","VJQ1AA000150015099",0.00,12.00,0.15,124.00,42.00,,,3.33,10.88,7625.00,0.00,5024.00,340.00,0.00,9614.97,2100.37,0.00,31300.00,158650.00,8900.00,"***",,1637.00
"491753","21Q1AA000100010099",0.00,12.00,0.10,112.00,46.00,4.46,11.59,3.18,8.44,6253.00,723.00,4703.00,352.00,0.00,8593.77,1964.15,0.00,31100.00,158450.00,7600.00,"***",1657.00,1604.00
"491755","21Q1AA000100010099",0.00,12.00,0.10,103.00,52.00,,,2.82,9.27,6363.00,1034.00,3432.00,3934.00,0.00,9442.21,2210.53,0.00,31100.00,159350.00,7200.00,"***",,1648.00
"491757","VQB2AA017000075099",0.00,20.00,17.00,96.00,45.00,,,13.88,9.88,5636.00,0.00,3353.00,333.00,358.00,6960.81,1448.23,0.00,35100.00,153050.00,0.00,"***",,1625.00
"491759","VQB2AA017000075099",0.00,20.00,17.00,113.00,53.00,9.99,16.50,12.96,13.85,7064.00,0.00,3969.00,343.00,406.00,8587.83,1724.71,0.00,32700.00,152850.00,0.00,"***",1654.00,1612.00
"595461","WTCBAA010000150099",0.00,25.00,10.00,109.00,20.00,4.89,16.75,6.85,17.04,3501.00,474.00,3163.00,214.00,373.00,5110.23,1281.06,373.00,23500.00,154780.00,0.00,"***",1704.00,1625.00
"595462","KCCBAS007000120099",0.00,25.00,7.00,117.00,53.00,4.29,15.26,5.60,15.10,4319.00,0.00,5312.00,213.00,163.00,6636.72,2007.25,163.00,23600.00,154570.00,2000.00,"***",1661.00,1595.00
"595463","IOCBAS023000120099",0.00,25.00,23.00,117.00,56.00,5.46,10.31,14.84,11.38,8025.00,0.00,7417.00,214.00,441.00,11094.03,2887.38,441.00,24000.00,154880.00,2200.00,"***",1640.00,1568.00
"595464","FTCBAS0210000960X9",0.00,25.00,21.00,119.00,59.00,8.32,6.36,14.04,8.71,8096.00,0.00,7666.00,213.00,360.00,11279.25,2972.92,360.00,23500.00,171980.00,1700.00,"***",1664.00,1578.00
"595465","GXCBAS018000145099",0.00,25.00,18.00,115.00,49.00,4.48,13.51,14.07,14.67,5218.00,0.00,4962.00,210.00,410.00,7303.80,1936.16,410.00,23100.00,151980.00,2200.00,"***",1696.00,1634.00
"595467","JYCHAS0160001260X9",0.00,25.00,16.00,117.00,55.00,8.49,9.40,13.28,11.30,7801.00,0.00,7330.00,185.00,359.00,10834.38,2842.25,359.00,26400.00,153180.00,7900.00,"***",1662.00,1619.00
"595468","JYCHAS0160001060X9",0.00,25.00,16.00,113.00,48.00,9.81,15.20,11.41,16.58,5667.00,0.00,5951.00,187.00,367.00,8188.50,2280.84,367.00,26200.00,153180.00,6000.00,"***",1668.00,1617.00
"595469","GFBKAS013000135099",0.00,20.00,13.00,110.00,42.00,6.74,9.93,8.95,11.30,5521.00,516.00,6071.00,807.00,443.00,8603.88,2450.54,443.00,23500.00,151070.00,1900.00,"***",1670.00,1602.00
"595470","VCBCAA007000170099",0.00,20.00,7.00,120.00,49.00,5.19,14.80,,,3648.00,514.00,3499.00,2798.00,153.00,6283.34,1866.41,153.00,25400.00,151680.00,2000.00,"***",1676.00,1600.00
"595471","VCBCAA007000170099",0.00,20.00,7.00,88.00,26.00,4.09,16.29,4.81,14.30,3499.00,512.00,1922.00,2592.00,140.00,5318.71,1301.37,140.00,23400.00,156000.00,2300.00,"***",1676.00,1596.00
"595472","YRCEAA009000125099",0.00,25.00,9.00,104.00,38.00,3.03,13.43,5.63,12.83,4140.00,511.00,3598.00,3113.00,361.00,6890.69,1980.23,361.00,23100.00,153000.00,2000.00,"***",1679.00,1614.00
"595473","YRCCAA009000125099",0.00,25.00,9.00,112.00,45.00,,,6.57,14.34,4953.00,510.00,4816.00,2332.00,179.00,7973.13,2282.19,179.00,23600.00,155250.00,1200.00,"***",,1654.00
