NUM_CORR_ACI;SIGLA_ACO;COD_TPAO;CLS_DARDO;CONS_AL;P;P_MAX
490524;24JDAA000100010099;2;sem dardo;776;10.43;10
491610;24JDAA000100010099;2;sem dardo;481;14.69;10
596079;62D2AC0030000260X9;2;sem dardo;23;18.507;30
595378;24JDAA000100010099;2;sem dardo;721;9.505;10
489047;KHCEAA0160000360X9;2;sem dardo;827;20;25
595810;84D1AS000150050099;1;com dardo;1094;16.53;30
490332;30Z2AA000200026099;1;com dardo;461;20.935;30
490457;FVZ1AA000150064099;2;sem dardo;611;34.617;35
596276;CSCDAA005000036099;1;com dardo;467;16.27;25
595444;24JDAA000100010099;2;sem dardo;618;11.75;10
596628;84D1AS000150050099;2;sem dardo;1104;15.058;30
596664;24JDAA000100010099;6;sem dardo;552;15.705;10
596836;DDCDAA0120000860X9;2;sem dardo;613;15.68;25
489854;24JDAA000100010099;6;sem dardo;453;11.993;10
492788;7PMAAS010000135099;1;com dardo;444;18.827;18
492417;DGC2AA003000021099;2;sem dardo;405;13.898;25
492449;DCC1AS006000110099;1;com dardo;340;18.54;25
492794;ZICEAS018000145099;2;sem dardo;416;25.867;25
492832;DGC2AA006000040099;1;com dardo;673;14.217;25
595730;AACHAA0120000360X9;2;sem dardo;372;21.775;25
491673;DDC1AA0160000360X9;5;sem dardo;544;15.437;25
598151;DDC1AA0160000560X9;2;sem dardo;213;17.835;25
494364;RJZHAS014000130099;2;sem dardo;296;37.255;50
494182;AAC3AA0040000210X9;6;sem dardo;553;18.432;25
494184;AAC3AA0040000210X9;6;sem dardo;276;20.203;25
594519;TNZ2AA000180056099;6;sem dardo;853;51.305;50
596711;MBA2AA000150010099;5;sem dardo;378;12.255;15
596174;DGC2AA006000040099;2;sem dardo;611;19.22;25
595557;QECDAA0120000360X9;2;sem dardo;390;10.21;25
492239;AAC3AA0040000210X9;2;sem dardo;444;20.245;25
492267;AAC3AA0040000210X9;2;sem dardo;1018;23.475;25
598525;LQC1AA006000066099;2;sem dardo;369;21.32;25
598565;QECDAA0090000360X9;5;sem dardo;523;15.675;25
595698;MBA2AA000150010099;6;sem dardo;251;9.08;15
595828;MBA2AA000150010099;2;sem dardo;240;15;15
596247;CTBBAS017000125099;2;sem dardo;502;21.138;20
492569;GXCHAS016000145099;1;com dardo;476;22.775;25
492358;DDC1AA0160000560X9;2;sem dardo;403;14.512;25
492479;DGC2AA006000040099;1;com dardo;359;18.6;25
595749;GXCHAS016000145099;2;sem dardo;460;18.9;25
598117;KOBEAS026000090099;2;sem dardo;267;13.285;20
596283;BKIBAA006000030099;2;sem dardo;711;18.52;23
595426;YUCBAA009000153099;2;sem dardo;880;25.39;25
596013;LQC1AA006000066099;2;sem dardo;981;16.107;25
596092;AAC3AA0040000210X9;2;sem dardo;393;14.755;25
492328;MBA2AA000150010099;3;sem dardo;563;8.55;15
492363;AAC3AA0040000210X9;2;sem dardo;738;10.5;25
595666;MBA2AA000150010099;1;com dardo;910;12.443;15
595950;VJQ1AA000150015099;1;com dardo;164;10.36;12
593545;EWZBAA006000120099;2;sem dardo;952;52.648;55
492613;ILICAS0460000660X9;2;sem dardo;241;23.652;23
492258;AAC3AA0040000210X9;2;sem dardo;544;12.705;25
492165;24JDAA000100010099;6;sem dardo;400;8.148;10
593175;FVZ1AA000150064099;1;com dardo;456;34.475;35
